Gene	c0.05	c0.11	c0.16	c0.22	c0.30	L0.05	L0.11	L0.16	L0.22	L0.30	n0.05	n0.11	n0.16	n0.22	n0.30	p0.05	p0.11	p0.16	p0.22	p0.30	u0.05	u0.11	u0.16	u0.22	u0.30
YNR017W	0.901972306057789	1.11788410004143	1.22605650844235	1.35208117730932	1.29425989872821	1.03671683235306	0.827422178389048	0.725506830338818	0.755025205033839	0.758074015017782	0.56895208353591	0.737100667940657	0.7294978443444	0.721772153894715	0.882960720712006	0.150734976432659	0.561358087906725	0.507926157764828	0.584422721301639	1.09281946204942	-0.303888420265998	0.383893361849596	0.37623315888349	0.628735172138785	0.773040540181509
YNR021W	0.667790649187802	0.715416104789082	0.347996018828324	0.497317040742531	0.704934525576305	0.652986994127825	0.458514684906218	0.5869115057856	0.615389056706399	0.485269250194461	0.759159437507282	0.65516501456562	0.807988133462938	0.925557061312743	0.617569175810938	0.174343775206483	0.311636872177724	0.370630098836336	0.177060466438606	0.463086714297957	0.0714601503993583	0.459308490278741	0.704250362117671	0.762863781143627	0.639104395041553
YNR034W	-0.746605435436332	-2.59634948413434	-0.774848298540533	0.352589181076387	-2.07712872521417	-1.97625185017014	-0.518046196913159	-0.862245280856183	-3.56101818391468	-1.18211077752889	-1.61765352752357	-0.787266443064874	-0.986606822927714	-0.625584578706679	-0.793440007990595	-0.577514583408067	-0.172188937725839	-0.594992553444196	-0.419171258808316	-0.765558602571995	-0.183082074782185	-0.625611339585328	-1.02942238250416	-0.822819298567772	-0.914606107578779
YNR034W-A	2.54157414528258	1.98404600991101	1.5913574176447	0.953349982053332	0.909649479552066	4.44859683577034	1.51347157508591	2.19459328675334	2.29617983206924	4.79937260396199	1.62851635076628	1.23070238523177	5.80365508737407	1.8232132369559	1.89083500920139	3.71899613970557	3.16649528381524	3.69767525343684	3.09368921077853	5.59301220113883	1.72182346379093	2.91229979625872	6.72194322518819	1.9811847967183	-0.59099712208817
YNR035C	-0.0137473791836041	0.280144664156358	0.364111507159152	0.108242446267135	-0.0680462414948639	-0.266313454420472	-0.256891855572562	-0.340055666056797	-0.244498482213471	-0.357701622594395	0.221445018964041	0.315566752190823	0.416906490502063	0.0754158952203462	-0.00591926566181714	-0.0770211355072581	0.0450797327393378	0.00536812970336101	-0.0986247058068019	-0.472613458134202	0.294779203225069	0.110493347391064	-0.245177461237698	-0.212719896078644	-0.0645333859204104
YNR043W	-0.975729944821022	-0.847105183539941	-0.820693208405921	-0.860065571499905	-0.813784798537788	-1.09277856872164	-1.01459734891786	-0.862160637292969	-0.939951148877064	-0.826828583165767	-1.08808545081523	-0.626441656241743	-0.722367455637876	-0.894893765172696	-0.818951614250974	-0.00892632741984094	-0.262681584847128	-0.496828976944588	-0.695622380621305	-0.749909159657449	-1.17938960395446	-0.979585759578614	-0.544070020025934	-0.775608932952798	-0.515828104400955
YNR050C	0.521291160008249	0.960094596879524	0.840126509868934	0.753097592202685	0.936013165149984	0.581186504040544	0.758590822865182	0.779994478414281	0.85719328008412	1.17333782634119	0.440911367090758	0.440006138589914	0.479266965407075	0.764723420303698	0.911829066977636	-0.05287470001684	0.417196422630102	0.643244250003402	0.915170079571735	1.1622984503492	-0.146384915007	0.572097677721353	0.96974688996927	0.793692718236385	0.836732386963903
YOL004W	0.0264953161117367	-0.0747073453514816	-0.106422315581858	0.180264019594808	-0.193053608433271	0.177848537022753	-0.314287464873965	0.0777685883411851	-0.195029901008507	-0.0820609688981163	0.107252148683461	0.252697264268346	-0.199728387829411	-0.188626708672702	0.117959213276487	-0.107701553833238	-0.284548920742948	-0.0431816611645182	-0.313685894060718	-0.174233529885602	-0.138998455126605	-0.211510281401658	-0.0892462673592274	-0.133796151944342	-0.462207968260306
YOL012C	0.679375202176406	0.609535713662602	0.460747264560059	0.150205233486714	0.129012887479628	-0.0861852843242777	-0.0578869363670834	0.0741323266848075	0.114580803319138	0.00107485146128701	1.06968352185231	1.33945420026393	1.13911301220309	0.344803209352367	0.223171140213625	0.15136749942785	0.251625396227178	0.245097456205725	0.239799270066816	0.210498350888333	-1.25819059156337	-0.212319622297812	0.13706361907686	-0.23907984008144	-0.0871643761204681
YOL021C	-0.404200691830064	-0.450655234518008	-1.3702411539981	-1.11786615179838	-0.571639264524704	-0.309427460995388	-1.39202210803832	-1.06358123617085	-1.26429064321922	-0.845715392345869	-0.740526736753812	-1.62077177213034	-2.29945233964119	-2.95245022996959	-2.81024340035569	-0.224102245046076	-0.24383637810608	-0.66766286301548	-2.22401190205325	-3.96079373233941	-0.75220500779023	-0.897705734394357	-0.917146950259365	-1.34469768635324	-2.63874785517413
